Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (%,Iron (% Daily Value)
230,26.0,40,10.0,52,0.0,50,17,1320,55,46,15,2,9,15,21,2,0,20,10,,
280,31.0,48,11.0,56,0.5,275,92,1480,62,57,19,3,11,7,30,20,15,20,20,,
230,25.0,39,9.0,45,0.5,60,20,1480,62,55,18,3,12,8,30,10,15,20,15,,
310,35.0,53,13.0,63,1.5,295,99,1510,63,56,19,3,12,7,33,20,4,25,25,,
430,48.0,73,17.0,87,0.0,555,185,1560,65,51,17,3,12,3,28,15,2,15,25,,
470,52.0,80,18.0,90,0.0,555,185,1680,70,56,19,4,17,3,28,15,2,15,30,,
330,37.0,57,14.0,69,0.0,35,12,1590,66,50,17,3,12,3,26,0,2,10,15,,
370,41.0,63,14.0,72,0.0,35,12,1700,71,55,18,4,17,4,26,4,2,10,15,,
510,56.0,87,19.0,96,0.0,575,192,2150,90,111,37,6,23,17,36,15,2,25,40,,
540,60.0,93,20.0,100,0.0,575,192,2260,94,116,39,7,28,17,36,15,2,30,40,,
410,46.0,70,16.0,78,0.0,55,19,2170,91,110,37,6,23,17,35,0,2,25,30,,
450,50.0,77,16.0,81,0.0,55,19,2290,95,115,38,7,28,18,35,4,2,25,30,,
80,9.0,13,2.0,9,0.0,20,7,590,24,60,20,3,10,14,8,0,0,15,15,,
210,24.0,37,7.0,36,0.0,50,17,930,39,61,20,3,10,14,15,0,0,15,15,,
150,16.0,25,7.0,33,0.0,115,38,790,33,26,9,1,5,2,12,10,2,15,15,,
80,9.0,14,1.5,6,0.0,0,0,310,13,15,5,2,6,0,1,0,2,0,2,,
170,19.0,30,9.0,43,0.0,15,5,370,15,66,22,3,11,32,6,4,0,6,15,,
35,4.0,6,1.5,8,0.0,5,2,160,7,58,19,5,19,32,5,2,130,10,10,,
40,4.0,6,1.5,8,0.0,5,2,115,5,49,16,5,22,18,5,2,130,6,10,,
240,27.0,42,10.0,48,1.0,85,28,960,40,47,16,3,13,9,24,6,2,25,25,,
240,26.0,41,12.0,61,1.5,95,31,1100,46,41,14,3,11,10,30,10,2,30,25,,
260,29.0,45,13.0,63,1.5,105,34,1440,60,48,16,3,12,12,37,6,15,25,30,,
280,31.0,48,13.0,64,1.5,105,35,1180,49,46,15,3,14,10,37,8,20,25,30,,
250,27.0,42,11.0,54,1.5,85,28,960,40,45,15,3,13,9,29,10,8,25,30,,
380,43.0,66,19.0,96,2.5,160,53,1280,53,42,14,3,11,10,48,10,2,30,35,,
70,8.0,12,3.0,15,0.0,30,10,480,20,32,11,1,6,6,12,2,2,10,15,,
100,11.0,18,5.0,27,0.5,45,15,680,28,33,11,2,7,7,15,6,2,20,15,,
190,21.0,32,10.0,52,1.0,90,30,1040,43,35,12,2,8,7,24,10,2,30,20,,
360,40.0,62,15.0,75,1.5,115,38,1470,61,51,17,4,14,14,39,8,25,30,25,,
150,17.0,26,8.0,40,1.0,75,25,840,35,34,11,2,7,7,22,6,2,20,20,,
200,22.0,34,10.0,49,1.0,90,30,1110,46,35,12,2,7,7,27,6,10,20,20,,
200,22.0,35,9.0,44,1.0,80,27,760,32,34,11,2,8,7,22,8,8,20,20,,
210,23.0,36,9.0,44,1.0,80,27,1030,43,35,12,2,7,6,22,6,8,20,20,,
240,26.0,40,10.0,48,0.0,70,23,980,41,44,15,3,10,11,22,2,2,15,20,,
200,22.0,33,3.5,18,0.0,45,16,990,41,55,18,3,13,10,24,4,6,15,20,,
80,9.0,13,2.0,9,0.0,65,22,820,34,42,14,3,13,8,28,4,8,15,20,,
300,33.0,51,9.0,44,0.0,85,29,1410,59,58,19,3,14,11,36,8,20,30,20,,
180,20.0,31,7.0,36,0.0,105,35,1250,52,44,15,3,13,9,40,8,20,30,20,,
250,28.0,43,6.0,31,0.0,70,24,1400,58,57,19,3,13,11,32,4,20,15,20,,
130,15.0,23,4.5,22,0.0,90,30,1230,51,43,14,3,13,9,36,4,20,15,20,,
340,38.0,59,10.0,51,0.5,90,31,1720,72,65,22,4,15,16,36,8,25,30,15,,
230,25.0,39,8.0,42,0.0,110,37,1560,65,51,17,4,15,14,40,8,30,30,15,,
170,19.0,29,3.0,15,0.0,45,14,910,38,43,14,2,7,7,21,4,2,15,15,,
140,16.0,25,3.0,15,0.0,35,11,800,33,40,13,2,7,5,14,0,2,10,15,,
220,24.0,38,7.0,35,0.0,65,21,1260,53,43,14,2,8,6,22,4,10,20,15,,
190,21.0,32,5.0,25,0.0,50,17,1260,53,41,14,2,7,6,20,2,10,15,15,,
150,16.0,25,3.0,16,0.0,35,11,990,41,40,13,2,7,5,14,2,2,15,15,,
280,32.0,49,9.0,45,0.5,80,26,1540,64,56,19,3,13,7,32,60,20,20,20,,
170,19.0,28,7.0,36,0.0,95,32,1370,57,42,14,3,13,6,36,60,25,20,20,,
280,31.0,47,8.0,40,0.5,65,21,1340,56,56,19,3,14,8,27,60,15,20,20,,
160,18.0,27,6.0,31,0.5,80,27,1170,49,42,14,3,14,6,30,60,15,15,20,,
300,33.0,51,8.0,40,0.5,60,21,1480,62,68,23,5,19,12,27,60,15,20,20,,
180,20.0,31,6.0,32,0.0,80,27,1320,55,55,18,5,20,10,31,70,15,20,20,,
200,23.0,35,4.5,23,0.0,50,16,1260,52,61,20,3,13,14,23,60,15,8,20,,
90,10.0,15,3.0,14,0.0,65,22,1090,45,47,16,3,13,12,27,60,15,8,20,,
110,12.0,18,2.0,10,0.0,25,9,360,15,12,4,1,2,0,9,0,2,0,2,,
160,18.0,27,3.0,15,0.0,40,13,540,22,18,6,1,4,0,13,0,2,2,4,,
270,30.0,45,5.0,25,0.0,65,22,900,37,30,10,2,6,0,22,0,4,2,6,,
530,59.0,91,10.0,50,0.0,135,44,1800,75,59,20,3,12,0,44,0,8,4,10,,
1060,118.0,182,20.0,101,1.0,265,89,3600,150,118,39,6,24,1,87,0,15,8,25,,
170,19.0,29,4.0,19,0.0,40,14,590,24,39,13,2,7,5,15,2,0,15,10,,
70,7.0,11,3.5,18,0.0,25,9,300,13,10,3,3,12,4,9,170,30,15,6,,
190,21.0,33,6.0,29,0.0,70,23,860,36,22,7,2,10,5,25,100,25,15,8,,
80,8.0,13,4.0,20,0.0,85,29,690,29,8,3,2,10,4,29,110,30,15,8,,
40,4.5,7,2.0,9,0.0,10,3,150,6,20,7,6,23,6,6,160,25,15,10,,
190,22.0,33,4.5,22,0.0,50,17,850,35,42,14,7,28,12,23,170,30,15,15,,
80,8.0,13,2.5,13,0.0,70,23,680,28,28,9,7,28,10,27,170,30,15,15,,
130,15.0,23,4.5,22,0.0,30,11,780,33,37,12,1,6,8,14,4,0,10,10,,
70,8.0,13,3.5,18,0.0,40,14,700,29,30,10,1,6,7,16,4,2,10,10,,
130,15.0,23,4.5,22,0.0,35,11,730,30,34,11,1,5,3,14,2,0,10,10,,
70,8.0,13,3.5,18,0.0,45,14,650,27,27,9,1,5,2,16,2,2,10,10,,
180,20.0,30,5.0,27,0.0,40,13,810,34,32,11,1,5,3,15,2,0,10,10,,
120,13.0,20,4.5,22,0.0,45,16,720,30,25,8,1,5,2,16,2,2,10,10,,
100,11.0,17,1.5,8,0.0,0,0,130,5,30,10,2,10,0,2,0,30,0,4,,
140,16.0,24,2.5,11,0.0,0,0,190,8,44,15,4,14,0,4,0,45,2,4,,
220,24.0,37,3.5,17,0.0,0,0,290,12,67,22,5,22,0,6,0,70,2,8,,
50,5.0,8,1.0,4,0.0,0,0,65,3,15,5,1,5,0,1,0,15,0,2,,
0,0.0,0,0.0,0,0.0,0,0,10,0,4,1,1,6,2,1,45,25,2,4,,
0,0.0,0,0.0,0,0.0,0,0,0,0,4,1,0,0,3,0,0,160,2,0,,
20,2.0,3,1.0,5,0.0,5,2,70,3,30,10,1,3,23,4,2,15,10,4,,
110,13.0,19,7.0,35,0.0,0,0,170,7,32,11,4,15,13,2,4,25,2,6,,
70,8.0,12,3.5,19,0.0,10,3,90,4,21,7,1,3,15,2,2,0,2,8,,
50,6.0,9,2.5,13,0.0,10,3,135,6,22,7,1,3,13,2,2,0,2,6,,
10,1.5,2,1.0,4,0.0,5,2,20,1,7,2,0,0,6,1,2,0,4,0,,
80,9.0,14,7.0,34,0.0,25,8,170,7,53,18,1,3,48,8,8,0,25,8,,
70,8.0,12,5.0,24,0.0,30,10,150,6,60,20,0,0,43,7,10,0,25,0,,
60,6.0,10,4.0,20,0.0,25,8,85,4,49,16,0,0,45,6,8,4,20,0,,
0,0.0,0,0.0,0,0.0,0,0,0,0,39,13,0,0,39,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,5,0,55,18,0,0,55,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,5,0,76,25,0,0,76,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,0,0,28,9,0,0,28,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,45,2,37,12,0,0,35,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,65,3,53,18,0,0,51,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,90,4,72,24,0,0,70,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,30,1,27,9,0,0,26,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,70,3,0,0,0,0,0,2,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,100,4,0,0,0,0,0,3,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,140,6,0,0,0,0,0,4,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,50,2,0,0,0,0,0,1,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,30,1,37,12,0,0,37,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,45,2,54,18,0,0,54,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,60,3,74,25,0,0,74,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,25,1,27,9,0,0,27,0,0,0,0,0,,
20,2.5,4,1.5,8,0.0,10,3,125,5,12,4,0,0,12,8,10,4,30,0,,
0,0.0,0,0.0,0,0.0,5,2,135,6,23,8,1,2,22,9,10,0,30,8,,
0,0.0,0,0.0,0,0.0,0,0,15,1,21,7,0,0,19,0,0,100,10,0,,
0,0.0,0,0.0,0,0.0,0,0,0,0,34,11,0,0,30,2,0,130,2,0,,
0,0.0,0,0.0,0,0.0,0,0,0,0,44,15,0,0,39,3,0,160,4,0,,
0,0.0,0,0.0,0,0.0,0,0,5,0,65,22,0,0,58,4,0,240,4,0,,
0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,10,0,36,12,0,0,36,1,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,10,0,45,15,0,0,45,1,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,10,1,54,18,0,0,54,1,0,0,0,0,,
0,0.0,0,0.0,0,0.0,0,0,5,0,27,9,0,0,27,0,0,0,0,0,,
80,9.0,13,5.0,24,0.0,25,9,115,5,15,5,1,3,12,9,8,0,30,0,,
90,10.0,16,6.0,30,0.0,30,11,140,6,18,6,1,4,15,11,10,0,35,0,,
120,14.0,21,8.0,39,0.0,40,14,180,8,24,8,1,6,20,15,15,0,50,2,,
80,9.0,13,5.0,24,0.0,25,9,115,5,40,13,1,3,38,9,8,0,30,0,,
90,10.0,16,6.0,30,0.0,30,11,140,6,50,17,1,4,48,11,10,0,35,0,,
120,14.0,21,8.0,39,0.0,40,14,180,8,62,21,1,6,59,15,15,0,50,2,,
90,10.0,16,6.0,30,0.0,30,11,140,6,50,17,1,4,47,11,10,0,35,0,,
120,14.0,21,8.0,39,0.0,40,14,180,8,62,21,1,6,58,15,15,0,50,2,,
80,9.0,13,5.0,24,0.0,25,9,115,5,38,13,1,3,36,9,8,0,30,0,,
90,10.0,16,6.0,30,0.0,30,11,140,6,48,16,1,4,45,11,10,0,35,2,,
120,14.0,21,8.0,39,0.0,40,14,190,8,60,20,1,6,56,15,15,0,50,2,,
80,9.0,13,5.0,24,0.0,25,9,150,6,24,8,1,4,12,9,8,0,30,0,,
90,10.0,16,6.0,30,0.0,30,11,190,8,29,10,1,5,15,12,10,0,35,0,,
120,14.0,21,8.0,39,0.0,40,14,240,10,37,12,2,7,20,15,15,0,50,2,,
0,0.0,0,0.0,0,0.0,5,2,110,5,15,5,1,3,13,10,10,0,30,0,,
0,0.0,0,0.0,0,0.0,5,2,135,6,19,6,1,4,16,12,15,0,40,0,,
0,0.5,1,0.0,0,0.0,10,3,180,7,25,8,1,6,21,16,15,0,50,2,,
0,0.0,0,0.0,0,0.0,5,2,110,5,41,14,1,3,39,10,10,0,30,0,,
0,0.0,0,0.0,0,0.0,5,2,135,6,51,17,1,4,48,12,15,0,40,0,,
0,0.5,1,0.0,0,0.0,10,3,180,7,63,21,1,6,59,16,15,0,50,2,,
0,0.0,0,0.0,0,0.0,5,2,110,5,40,13,1,3,38,10,10,0,30,0,,
0,0.0,0,0.0,0,0.0,5,2,115,5,39,13,1,3,37,10,10,0,30,0,,
0,0.0,0,0.0,0,0.0,5,2,140,6,49,16,1,4,46,12,15,0,40,2,,
0,0.5,1,0.0,0,0.0,10,3,180,8,60,20,1,6,56,16,15,0,50,2,,
0,0.0,0,0.0,0,0.0,5,2,150,6,24,8,1,4,13,10,10,0,30,0,,
0,0.0,0,0.0,0,0.0,5,2,180,8,30,10,1,5,16,12,15,0,40,0,,
0,0.5,1,0.0,0,0.0,10,3,240,10,38,13,2,7,21,16,15,0,50,2,,
100,11.0,18,7.0,34,0.0,35,12,150,6,49,16,2,6,42,10,10,0,30,6,,
120,14.0,21,8.0,40,0.0,40,14,190,8,60,20,2,8,53,13,10,0,40,6,,
150,17.0,26,10.0,49,0.5,50,17,240,10,72,24,2,10,63,16,15,0,50,8,,
30,3.5,5,2.0,11,0.0,15,5,150,6,49,16,2,6,43,11,10,0,35,6,,
30,3.5,6,2.0,11,0.0,15,5,190,8,60,20,2,8,53,13,15,0,40,6,,
35,4.0,6,2.5,12,0.0,20,6,240,10,73,24,2,10,64,17,20,0,50,8,,
100,11.0,17,7.0,33,0.0,35,12,170,7,45,15,1,3,40,10,10,0,30,2,,
120,14.0,21,8.0,40,0.5,40,14,220,9,55,18,1,4,50,12,15,0,40,2,,
150,17.0,26,10.0,49,0.5,50,17,270,11,66,22,1,5,60,16,15,0,50,4,,
30,3.5,5,2.0,10,0.0,15,5,170,7,45,15,1,3,41,10,10,0,35,2,,
30,3.5,5,2.0,11,0.0,15,5,210,9,56,19,1,4,51,13,15,0,40,2,,
35,3.5,6,2.5,11,0.0,20,6,270,11,67,22,1,5,61,17,20,0,50,4,,
120,13.0,21,8.0,39,0.0,40,14,180,8,50,17,1,3,45,11,10,0,40,6,,
140,16.0,25,9.0,47,0.5,50,16,220,9,61,20,1,4,56,14,15,0,45,6,,
180,20.0,31,12.0,58,0.5,60,20,280,12,73,24,1,5,68,17,20,0,60,8,,
30,3.5,5,2.0,11,0.0,15,5,180,7,50,17,1,3,46,12,15,0,40,6,,
30,3.5,5,2.0,11,0.0,15,6,220,9,61,20,1,4,57,14,20,0,50,6,,
35,3.5,6,2.5,12,0.0,20,7,280,12,74,25,1,5,69,19,25,0,60,8,,
40,4.5,7,3.0,15,0.0,15,6,35,1,23,8,0,0,22,1,4,0,4,0,,
60,7.0,11,4.5,22,0.0,25,9,50,2,31,10,0,0,30,1,4,0,4,0,,
80,9.0,14,6.0,29,0.0,35,12,75,3,47,16,0,0,45,2,6,0,8,0,,
40,4.5,7,3.0,15,0.0,15,6,35,2,22,7,0,0,21,1,4,0,4,0,,
60,7.0,11,4.5,22,0.0,25,9,50,2,29,10,0,0,28,1,4,0,4,0,,
80,9.0,14,6.0,29,0.0,35,12,65,3,43,14,0,0,42,2,6,0,6,0,,
40,4.5,7,3.0,15,0.0,15,6,35,1,21,7,0,0,20,1,4,0,4,0,,
80,9.0,14,6.0,29,0.0,35,12,75,3,43,14,0,0,41,2,6,0,8,0,,
40,4.5,7,3.0,15,0.0,15,6,40,2,20,7,0,0,19,1,4,0,4,0,,
60,7.0,11,4.5,22,0.0,25,9,55,2,27,9,0,0,26,1,4,0,4,0,,
80,9.0,14,6.0,29,0.0,35,12,80,3,41,14,0,0,39,2,6,0,8,0,,
40,4.5,7,3.0,15,0.0,15,6,65,3,9,3,0,0,1,1,4,0,4,0,,
60,7.0,11,4.5,22,0.0,25,9,90,4,12,4,0,0,2,1,4,0,4,0,,
80,9.0,14,6.0,29,0.0,35,12,135,6,18,6,0,0,2,2,6,0,8,0,,
100,11.0,17,7.0,33,0.0,35,12,125,5,41,14,1,4,34,8,10,0,25,4,,
110,13.0,19,8.0,38,0.0,40,13,150,6,50,17,1,5,43,9,10,0,30,6,,
150,16.0,25,10.0,49,0.5,50,17,220,9,70,23,2,8,62,14,15,0,40,8,,
45,5.0,8,3.0,16,0.0,20,7,125,5,41,14,1,4,35,8,10,0,25,4,,
45,5.0,8,3.5,17,0.0,20,7,150,6,50,17,1,5,43,10,15,0,30,6,,
50,6.0,9,3.5,18,0.0,25,8,220,9,71,24,2,8,62,14,20,0,45,8,,
100,11.0,17,7.0,33,0.0,35,12,140,6,38,13,0,0,33,8,10,0,25,2,,
110,13.0,19,7.0,37,0.0,40,13,170,7,46,15,1,2,41,9,10,0,30,2,,
150,16.0,25,10.0,48,0.5,50,17,250,10,65,22,1,3,59,13,15,0,40,4,,
45,5.0,8,3.0,16,0.0,20,7,140,6,38,13,0,0,33,8,10,0,25,2,,
45,5.0,8,3.0,16,0.0,20,7,170,7,47,16,1,2,41,10,15,0,30,2,,
50,6.0,8,3.5,17,0.0,25,8,250,10,65,22,1,3,59,14,20,0,45,4,,
160,18.0,28,12.0,59,1.0,65,21,125,5,65,22,1,3,57,7,15,0,20,4,,
200,22.0,34,14.0,71,1.0,75,25,160,7,80,27,1,4,71,9,15,0,25,4,,
240,26.0,41,17.0,85,1.0,90,30,190,8,98,33,1,4,88,11,20,0,35,4,,
170,19.0,29,12.0,60,1.0,65,22,125,5,64,21,0,0,57,7,15,0,25,2,,
200,23.0,35,15.0,73,1.0,80,27,160,7,79,26,0,0,71,9,20,0,30,2,,
250,27.0,42,17.0,87,1.5,95,32,190,8,96,32,0,0,88,11,20,0,35,2,,
200,23.0,35,14.0,72,1.0,65,22,135,6,76,25,1,5,67,8,15,0,25,4,,
240,26.0,41,17.0,85,1.0,80,26,160,7,91,30,1,5,81,9,15,0,30,4,,
280,31.0,48,20.0,101,1.5,95,32,200,8,111,37,1,5,99,12,20,0,35,6,,
5,0.5,1,0.0,0,0.0,5,1,40,2,50,17,3,12,44,2,0,2,6,2,,
5,1.0,1,0.0,0,0.0,5,1,50,2,62,21,4,15,54,3,0,4,8,2,,
10,1.0,2,0.5,3,0.0,5,2,65,3,79,26,5,19,70,4,0,4,10,2,,
5,0.5,1,0.0,0,0.0,5,1,50,2,47,16,3,10,44,3,0,30,8,2,,
5,1.0,1,0.0,0,0.0,5,1,60,2,58,19,3,13,54,4,0,35,8,4,,
10,1.0,2,0.5,3,0.0,5,2,80,3,74,25,4,16,70,5,0,45,10,4,,
5,0.5,1,0.0,0,0.0,5,1,40,2,50,17,1,4,46,2,30,20,8,2,,
10,1.0,1,0.0,0,0.0,5,1,45,2,61,20,1,5,56,3,40,25,8,2,,
10,1.0,2,0.5,3,0.0,5,2,60,3,78,26,2,6,72,4,50,30,10,2,,
140,15.0,24,10.0,49,1.0,60,20,160,7,86,29,0,0,63,11,20,0,40,0,,
170,19.0,29,12.0,61,1.0,75,24,200,9,109,36,0,0,81,14,25,0,50,0,,
210,23.0,35,15.0,73,1.0,90,29,260,11,135,45,0,0,101,18,30,0,60,0,,
150,16.0,25,10.0,52,1.0,60,21,160,7,90,30,0,0,79,12,20,0,40,0,,
180,20.0,30,13.0,63,1.0,75,25,210,9,114,38,0,0,100,15,25,0,50,0,,
210,24.0,36,15.0,75,1.0,90,30,260,11,140,47,0,0,123,18,30,0,70,0,,
150,16.0,25,10.0,51,1.0,60,20,240,10,91,30,1,5,77,12,20,0,40,8,,
180,20.0,30,12.0,62,1.0,75,24,300,13,114,38,2,6,97,15,25,0,50,10,,
210,23.0,36,15.0,74,1.0,85,29,380,16,141,47,2,8,120,19,30,0,60,15,,
170,19.0,29,12.0,61,1.0,75,24,210,9,109,36,0,0,93,14,25,0,50,0,,
210,23.0,35,15.0,73,1.0,90,29,260,11,135,45,0,0,115,18,30,0,60,0,,
210,23.0,35,14.0,72,0.5,50,17,180,7,96,32,1,6,89,13,15,0,45,8,,
290,33.0,50,20.0,102,1.0,75,25,260,11,139,46,2,7,128,20,25,0,70,10,,
140,15.0,24,10.0,48,0.0,35,11,120,5,64,21,1,4,59,9,10,0,30,4,,
150,17.0,26,9.0,44,0.5,45,14,280,12,80,27,1,4,64,12,15,0,40,8,,
200,23.0,35,12.0,58,1.0,55,19,380,16,106,35,1,5,85,15,20,0,50,10,,
100,11.0,17,6.0,29,0.0,30,9,190,8,53,18,1,2,43,8,10,0,25,6,,
290,32.0,50,15.0,76,1.0,60,20,400,17,114,38,2,9,103,21,20,0,60,6,,
150,16.0,25,8.0,38,0.0,30,10,200,8,57,19,1,5,51,10,10,0,30,4,,
